,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
SMC6,1.0,1.0,1.0,1.0,100.0
RGS2,1.0,1.0,1.0,1.0,100.0
SDCBP,1.0,1.0,1.0,1.0,100.0
FBXW7,1.0,1.0,1.0,1.0,100.0
FCHO2,1.0,1.0,1.0,1.0,100.0
FKBP5,1.0,1.0,1.0,1.0,100.0
SC5D,1.0,1.0,1.0,1.0,100.0
SAP30,1.0,1.0,1.0,1.0,100.0
GDAP2,1.0,1.0,1.0,1.0,100.0
RPL6,1.0,1.0,1.0,1.0,100.0
RMDN1,1.0,1.0,1.0,1.0,100.0
REV3L,1.0,1.0,1.0,1.0,100.0
HNRNPM,1.0,1.0,1.0,1.0,100.0
REST,1.0,1.0,1.0,1.0,100.0
RCAN1,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
HDAC2,1.0,1.0,1.0,1.0,100.0
RASA2,1.0,1.0,1.0,1.0,100.0
RANBP2,1.0,1.0,1.0,1.0,100.0
RACGAP1,1.0,1.0,1.0,1.0,100.0
RABL6,1.0,1.0,1.0,1.0,100.0
HNRNPH3,1.0,1.0,1.0,1.0,100.0
FBXO28,1.0,1.0,1.0,1.0,100.0
FBXL5,1.0,1.0,1.0,1.0,100.0
SENP5,1.0,1.0,1.0,1.0,100.0
FAM89A,1.0,1.0,1.0,1.0,100.0
SPRY1,1.0,1.0,1.0,1.0,100.0
SPG21,1.0,1.0,1.0,1.0,100.0
SPEN,1.0,1.0,1.0,1.0,100.0
SP1,1.0,1.0,1.0,1.0,100.0
SNCA,1.0,1.0,1.0,1.0,100.0
SMYD2,1.0,1.0,1.0,1.0,100.0
ELOVL5,1.0,1.0,1.0,1.0,100.0
SMAD2,1.0,1.0,1.0,1.0,100.0
SLC39A10,1.0,1.0,1.0,1.0,100.0
SLC30A5,1.0,1.0,1.0,1.0,100.0
ERICH1,1.0,1.0,1.0,1.0,100.0
ESR1,1.0,1.0,1.0,1.0,100.0
EVA1C,1.0,1.0,1.0,1.0,100.0
EZH2,1.0,1.0,1.0,1.0,100.0
SHPRH,1.0,1.0,1.0,1.0,100.0
FAM129A,1.0,1.0,1.0,1.0,100.0
SH3PXD2B,1.0,1.0,1.0,1.0,100.0
SETD7,1.0,1.0,1.0,1.0,100.0
SET,1.0,1.0,1.0,1.0,100.0
HNRNPK,1.0,1.0,1.0,1.0,100.0
HNRNPU,1.0,1.0,1.0,1.0,100.0
SRBD1,1.0,1.0,1.0,1.0,100.0
MAML2,1.0,1.0,1.0,1.0,100.0
PAK2,1.0,1.0,1.0,1.0,100.0
PAIP2,1.0,1.0,1.0,1.0,100.0
NPEPPS,1.0,1.0,1.0,1.0,100.0
LRRC37B,1.0,1.0,1.0,1.0,100.0
NOL8,1.0,1.0,1.0,1.0,100.0
NME7,1.0,1.0,1.0,1.0,100.0
NIPBL,1.0,1.0,1.0,1.0,100.0
MAD1L1,1.0,1.0,1.0,1.0,100.0
MAGED1,1.0,1.0,1.0,1.0,100.0
MAP3K3,1.0,1.0,1.0,1.0,100.0
QRICH1,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
MBTPS1,1.0,1.0,1.0,1.0,100.0
NCOA6,1.0,1.0,1.0,1.0,100.0
MECP2,1.0,1.0,1.0,1.0,100.0
MICAL1,1.0,1.0,1.0,1.0,100.0
NADK2,1.0,1.0,1.0,1.0,100.0
MIOS,1.0,1.0,1.0,1.0,100.0
MMADHC,1.0,1.0,1.0,1.0,100.0
MTX2,1.0,1.0,1.0,1.0,100.0
LEPR,1.0,1.0,1.0,1.0,100.0
PCED1A,1.0,1.0,1.0,1.0,100.0
PCGF5,1.0,1.0,1.0,1.0,100.0
PCSK5,1.0,1.0,1.0,1.0,100.0
ICA1,1.0,1.0,1.0,1.0,100.0
PUDP,1.0,1.0,1.0,1.0,100.0
PTPRK,1.0,1.0,1.0,1.0,100.0
PTP4A2,1.0,1.0,1.0,1.0,100.0
PTAR1,1.0,1.0,1.0,1.0,100.0
PRPF4B,1.0,1.0,1.0,1.0,100.0
PRKX,1.0,1.0,1.0,1.0,100.0
KATNBL1,1.0,1.0,1.0,1.0,100.0
KCTD12,1.0,1.0,1.0,1.0,100.0
PRKD3,1.0,1.0,1.0,1.0,100.0
PPP4R2,1.0,1.0,1.0,1.0,100.0
PPM1D,1.0,1.0,1.0,1.0,100.0
PPID,1.0,1.0,1.0,1.0,100.0
KLHL18,1.0,1.0,1.0,1.0,100.0
PPARG,1.0,1.0,1.0,1.0,100.0
KLHL42,1.0,1.0,1.0,1.0,100.0
PLEKHF2,1.0,1.0,1.0,1.0,100.0
PHF20L1,1.0,1.0,1.0,1.0,100.0
PEX2,1.0,1.0,1.0,1.0,100.0
SPTBN1,1.0,1.0,1.0,1.0,100.0
MTUS1,1.0,1.0,1.0,1.0,100.0
SREBF2,1.0,1.0,1.0,1.0,100.0
CD302,1.0,1.0,1.0,1.0,100.0
CBX5,1.0,1.0,1.0,1.0,100.0
TRAK2,1.0,1.0,1.0,1.0,100.0
CCDC82,1.0,1.0,1.0,1.0,100.0
ANKRD36,1.0,1.0,1.0,1.0,100.0
CCDC88A,1.0,1.0,1.0,1.0,100.0
ZDHHC21,1.0,1.0,1.0,1.0,100.0
TOP2B,1.0,1.0,1.0,1.0,100.0
TMPO,1.0,1.0,1.0,1.0,100.0
CD47,1.0,1.0,1.0,1.0,100.0
YY1,1.0,1.0,1.0,1.0,100.0
CDC42,1.0,1.0,1.0,1.0,100.0
CDC73,1.0,1.0,1.0,1.0,100.0
TMEM68,1.0,1.0,1.0,1.0,100.0
CDK8,1.0,1.0,1.0,1.0,100.0
CDKN1B,1.0,1.0,1.0,1.0,100.0
TMEM267,1.0,1.0,1.0,1.0,100.0
CEPT1,1.0,1.0,1.0,1.0,100.0
TMEM263,1.0,1.0,1.0,1.0,100.0
ZDHHC2,1.0,1.0,1.0,1.0,100.0
CARNMT1,1.0,1.0,1.0,1.0,100.0
CHD1,1.0,1.0,1.0,1.0,100.0
USP7,1.0,1.0,1.0,1.0,100.0
ATP11B,1.0,1.0,1.0,1.0,100.0
ATXN2L,1.0,1.0,1.0,1.0,100.0
ATXN7L3B,1.0,1.0,1.0,1.0,100.0
WASF3,1.0,1.0,1.0,1.0,100.0
VPS26A,1.0,1.0,1.0,1.0,100.0
BCL10,1.0,1.0,1.0,1.0,100.0
VKORC1L1,1.0,1.0,1.0,1.0,100.0
VAPA,1.0,1.0,1.0,1.0,100.0
USP45,1.0,1.0,1.0,1.0,100.0
ARHGAP5,1.0,1.0,1.0,1.0,100.0
UGT8,1.0,1.0,1.0,1.0,100.0
C5orf51,1.0,1.0,1.0,1.0,100.0
UBR5,1.0,1.0,1.0,1.0,100.0
UBN2,1.0,1.0,1.0,1.0,100.0
CACYBP,1.0,1.0,1.0,1.0,100.0
UBE4A,1.0,1.0,1.0,1.0,100.0
UBE3C,1.0,1.0,1.0,1.0,100.0
YWHAE,1.0,1.0,1.0,1.0,100.0
YBX3,1.0,1.0,1.0,1.0,100.0
YEATS2,1.0,1.0,1.0,1.0,100.0
CHMP2B,1.0,1.0,1.0,1.0,100.0
COTL1,1.0,1.0,1.0,1.0,100.0
CSNK1G3,1.0,1.0,1.0,1.0,100.0
CSNK2A1,1.0,1.0,1.0,1.0,100.0
ANAPC4,1.0,1.0,1.0,1.0,100.0
ZNF24,1.0,1.0,1.0,1.0,100.0
CTR9,1.0,1.0,1.0,1.0,100.0
CYB561A3,1.0,1.0,1.0,1.0,100.0
STK24,1.0,1.0,1.0,1.0,100.0
CYBRD1,1.0,1.0,1.0,1.0,100.0
ZNF529,1.0,1.0,1.0,1.0,100.0
STARD4,1.0,1.0,1.0,1.0,100.0
SSFA2,1.0,1.0,1.0,1.0,100.0
ZNF717,1.0,1.0,1.0,1.0,100.0
DESI2,1.0,1.0,1.0,1.0,100.0
ABI2,1.0,1.0,1.0,1.0,100.0
ZNF800,1.0,1.0,1.0,1.0,100.0
TAF1B,1.0,1.0,1.0,1.0,100.0
CTBP1,1.0,1.0,1.0,1.0,100.0
TBCA,1.0,1.0,1.0,1.0,100.0
TBL1XR1,1.0,1.0,1.0,1.0,100.0
CNOT2,1.0,1.0,1.0,1.0,100.0
TM9SF3,1.0,1.0,1.0,1.0,100.0
CNOT1,1.0,1.0,1.0,1.0,100.0
TCF4,1.0,1.0,1.0,1.0,100.0
TM9SF2,1.0,1.0,1.0,1.0,100.0
CHTF8,1.0,1.0,1.0,1.0,100.0
AMD1,1.0,1.0,1.0,1.0,100.0
COL4A3BP,1.0,1.0,1.0,1.0,100.0
TJAP1,1.0,1.0,1.0,1.0,100.0
TIGAR,1.0,1.0,1.0,1.0,100.0
ZNF618,0.0,1.0,1.0,1.0,75.0
NAA15,1.0,1.0,0.0,1.0,75.0
ZNF217,1.0,1.0,1.0,0.0,75.0
P4HA1,1.0,1.0,1.0,0.0,75.0
NAT10,1.0,1.0,1.0,0.0,75.0
ZNF577,1.0,1.0,1.0,0.0,75.0
NAPEPLD,1.0,1.0,1.0,0.0,75.0
NIN,1.0,0.0,1.0,1.0,75.0
ZMAT3,1.0,0.0,1.0,1.0,75.0
ZNF445,1.0,1.0,1.0,0.0,75.0
NFATC1,1.0,1.0,1.0,0.0,75.0
NDUFS1,1.0,1.0,1.0,0.0,75.0
NIPA2,1.0,1.0,0.0,1.0,75.0
TRAF6,1.0,1.0,0.0,1.0,75.0
WNT5A,1.0,1.0,1.0,0.0,75.0
PLEKHM3,1.0,0.0,1.0,1.0,75.0
SPRED2,1.0,1.0,1.0,0.0,75.0
SS18,1.0,1.0,1.0,0.0,75.0
SPACA6,1.0,1.0,1.0,0.0,75.0
SP3,1.0,1.0,1.0,0.0,75.0
SOCS5,1.0,1.0,0.0,1.0,75.0
STAT6,1.0,1.0,1.0,0.0,75.0
MTFR1,1.0,1.0,0.0,1.0,75.0
SMARCC1,1.0,1.0,1.0,0.0,75.0
SMARCAD1,1.0,1.0,1.0,0.0,75.0
SLC4A2,1.0,1.0,0.0,1.0,75.0
STOM,1.0,1.0,1.0,0.0,75.0
STRIP1,1.0,0.0,1.0,1.0,75.0
SEL1L3,0.0,1.0,1.0,1.0,75.0
TDRD7,1.0,1.0,1.0,0.0,75.0
SCYL2,1.0,0.0,1.0,1.0,75.0
SCFD1,1.0,1.0,0.0,1.0,75.0
RPS6KA4,1.0,1.0,0.0,1.0,75.0
RNF111,0.0,1.0,1.0,1.0,75.0
TMOD3,1.0,1.0,1.0,0.0,75.0
SRSF10,1.0,1.0,1.0,0.0,75.0
RAB21,1.0,1.0,1.0,0.0,75.0
UBALD2,0.0,1.0,1.0,1.0,75.0
UBE3A,0.0,1.0,1.0,1.0,75.0
PRRG4,1.0,1.0,1.0,0.0,75.0
PRRC2A,1.0,1.0,1.0,0.0,75.0
ABCA7,1.0,1.0,1.0,0.0,75.0
OPHN1,1.0,1.0,0.0,1.0,75.0
CAB39,0.0,1.0,1.0,1.0,75.0
HLCS,1.0,1.0,1.0,0.0,75.0
FBXO38,1.0,1.0,0.0,1.0,75.0
FARP1,1.0,1.0,1.0,0.0,75.0
CHPT1,1.0,1.0,1.0,0.0,75.0
FAM204A,1.0,1.0,1.0,0.0,75.0
CDK12,1.0,1.0,1.0,0.0,75.0
KLHL9,1.0,1.0,0.0,1.0,75.0
AP2B1,1.0,1.0,1.0,0.0,75.0
EIF4ENIF1,1.0,1.0,1.0,0.0,75.0
CROT,0.0,1.0,1.0,1.0,75.0
HECA,1.0,1.0,1.0,0.0,75.0
LRRC41,1.0,1.0,1.0,0.0,75.0
KPNA6,1.0,0.0,1.0,1.0,75.0
MAP4,1.0,1.0,1.0,0.0,75.0
MAPK1IP1L,1.0,0.0,1.0,1.0,75.0
BBX,1.0,1.0,1.0,0.0,75.0
ADAR,1.0,1.0,1.0,0.0,75.0
DOCK7,1.0,1.0,1.0,0.0,75.0
CTNND1,1.0,1.0,0.0,1.0,75.0
INO80,1.0,1.0,1.0,0.0,75.0
IFRD1,1.0,0.0,1.0,1.0,75.0
DHX9,1.0,1.0,1.0,0.0,75.0
AGAP1,1.0,1.0,0.0,1.0,75.0
MICU1,1.0,1.0,1.0,0.0,75.0
MFSD14C,1.0,1.0,1.0,0.0,75.0
DIDO1,1.0,1.0,1.0,0.0,75.0
AES,1.0,0.0,1.0,1.0,75.0
DAP,1.0,1.0,1.0,0.0,75.0
HEXB,0.0,1.0,0.0,1.0,50.0
CD58,0.0,0.0,1.0,1.0,50.0
FXR1,1.0,1.0,0.0,0.0,50.0
CCNYL1,1.0,0.0,1.0,0.0,50.0
FOXJ3,0.0,1.0,0.0,1.0,50.0
GLCCI1,1.0,0.0,1.0,0.0,50.0
GTF3A,1.0,1.0,0.0,0.0,50.0
RHOG,1.0,0.0,1.0,0.0,50.0
TPP2,1.0,0.0,1.0,0.0,50.0
RAD23A,1.0,0.0,1.0,0.0,50.0
HAUS6,0.0,1.0,1.0,0.0,50.0
TTC37,1.0,0.0,1.0,0.0,50.0
TTC7A,0.0,0.0,1.0,1.0,50.0
CBWD1,1.0,0.0,1.0,0.0,50.0
HS2ST1,1.0,0.0,1.0,0.0,50.0
RALGAPA2,1.0,0.0,1.0,0.0,50.0
RALGAPA1,1.0,1.0,0.0,0.0,50.0
RAD54L2,1.0,0.0,1.0,0.0,50.0
RAB27A,0.0,1.0,1.0,0.0,50.0
SCRN1,0.0,1.0,1.0,0.0,50.0
SLC25A33,1.0,1.0,0.0,0.0,50.0
CHORDC1,0.0,1.0,0.0,1.0,50.0
SEC23A,0.0,1.0,0.0,1.0,50.0
DCDC1,0.0,0.0,1.0,1.0,50.0
DGCR8,0.0,1.0,1.0,0.0,50.0
STX12,0.0,1.0,1.0,0.0,50.0
DNM1L,1.0,0.0,1.0,0.0,50.0
DOCK11,1.0,1.0,0.0,0.0,50.0
SUGP2,0.0,1.0,1.0,0.0,50.0
SUN2,0.0,1.0,1.0,0.0,50.0
DYM,1.0,0.0,1.0,0.0,50.0
EBPL,0.0,1.0,1.0,0.0,50.0
SUPT20H,0.0,1.0,0.0,1.0,50.0
SNX11,1.0,0.0,1.0,0.0,50.0
SUPT5H,0.0,1.0,1.0,0.0,50.0
EHD4,0.0,0.0,1.0,1.0,50.0
SNAPC4,1.0,0.0,1.0,0.0,50.0
EHMT1,0.0,1.0,1.0,0.0,50.0
EIF2AK4,0.0,0.0,1.0,1.0,50.0
TAF2,0.0,1.0,1.0,0.0,50.0
ENO1,1.0,0.0,1.0,0.0,50.0
TANGO6,1.0,0.0,1.0,0.0,50.0
EP400,1.0,0.0,1.0,0.0,50.0
