,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
MOB3B,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
PELI1,1.0,1.0,1.0,1.0,100.0
PDGFC,1.0,1.0,1.0,1.0,100.0
PDE4D,1.0,1.0,1.0,1.0,100.0
PDCD4,1.0,1.0,1.0,1.0,100.0
PCED1B,1.0,1.0,1.0,1.0,100.0
OXR1,1.0,1.0,1.0,1.0,100.0
OSBPL3,1.0,1.0,1.0,1.0,100.0
OSBPL1A,1.0,1.0,1.0,1.0,100.0
NR3C2,1.0,1.0,1.0,1.0,100.0
NR3C1,1.0,1.0,1.0,1.0,100.0
NFIA,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
NCOA2,1.0,1.0,1.0,1.0,100.0
AKT3,1.0,1.0,1.0,1.0,100.0
MEF2C-AS1,1.0,1.0,1.0,1.0,100.0
MBNL1,1.0,1.0,1.0,1.0,100.0
MARCH3,1.0,1.0,1.0,1.0,100.0
PHF3,1.0,1.0,1.0,1.0,100.0
PKN2,1.0,1.0,1.0,1.0,100.0
PPP3CA,1.0,1.0,1.0,1.0,100.0
TAPT1-AS1,1.0,1.0,1.0,1.0,100.0
ZMYM2,1.0,1.0,1.0,1.0,100.0
ZBTB20,1.0,1.0,1.0,1.0,100.0
USP9X,1.0,1.0,1.0,1.0,100.0
USP53,1.0,1.0,1.0,1.0,100.0
TRERF1,1.0,1.0,1.0,1.0,100.0
TMEM65,1.0,1.0,1.0,1.0,100.0
TFDP2,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
PRKCQ,1.0,1.0,1.0,1.0,100.0
SLC22A23,1.0,1.0,1.0,1.0,100.0
SGK3,1.0,1.0,1.0,1.0,100.0
SFMBT2,1.0,1.0,1.0,1.0,100.0
RUNX2,1.0,1.0,1.0,1.0,100.0
RERE,1.0,1.0,1.0,1.0,100.0
RB1CC1,1.0,1.0,1.0,1.0,100.0
PTPRD,1.0,1.0,1.0,1.0,100.0
MAN1A1,1.0,1.0,1.0,1.0,100.0
ZMYND11,1.0,1.0,1.0,1.0,100.0
FKBP5,1.0,1.0,1.0,1.0,100.0
INPP4B,1.0,1.0,1.0,1.0,100.0
FAM214A,1.0,1.0,1.0,1.0,100.0
LPAR1,1.0,1.0,1.0,1.0,100.0
DIP2A,1.0,1.0,1.0,1.0,100.0
FCHO2,1.0,1.0,1.0,1.0,100.0
FER,1.0,1.0,1.0,1.0,100.0
CTTNBP2,1.0,1.0,1.0,1.0,100.0
FOXO1,1.0,1.0,1.0,1.0,100.0
FOXP1,1.0,1.0,1.0,1.0,100.0
FOXP2,1.0,1.0,1.0,1.0,100.0
CREBRF,1.0,1.0,1.0,1.0,100.0
IL6ST,1.0,1.0,1.0,1.0,100.0
ESRRG,1.0,1.0,1.0,1.0,100.0
IMMP2L,1.0,1.0,1.0,1.0,100.0
IRS2,1.0,1.0,1.0,1.0,100.0
CDK19,1.0,1.0,1.0,1.0,100.0
AUTS2,1.0,1.0,1.0,1.0,100.0
ARID4A,1.0,1.0,1.0,1.0,100.0
KCNB2,1.0,1.0,1.0,1.0,100.0
BAZ2B,1.0,1.0,1.0,1.0,100.0
ARHGAP24,1.0,1.0,1.0,1.0,100.0
ANKRD50,1.0,1.0,1.0,1.0,100.0
KMT2A,1.0,1.0,1.0,1.0,100.0
L3MBTL4,1.0,1.0,1.0,1.0,100.0
LIFR,1.0,1.0,1.0,1.0,100.0
EPB41L2,1.0,1.0,1.0,1.0,100.0
CELF2,0.0,1.0,1.0,1.0,75.0
RNF13,0.0,1.0,1.0,1.0,75.0
RGS2,0.0,1.0,1.0,1.0,75.0
LRRC37A3,0.0,1.0,1.0,1.0,75.0
FAM149A,0.0,1.0,1.0,1.0,75.0
TXNDC16,0.0,1.0,1.0,1.0,75.0
PELI2,0.0,1.0,1.0,1.0,75.0
GNB4,1.0,1.0,0.0,1.0,75.0
NPAS3,0.0,1.0,1.0,1.0,75.0
NOS1AP,0.0,1.0,1.0,1.0,75.0
MPPE1,0.0,1.0,1.0,1.0,75.0
TBC1D4,0.0,1.0,1.0,1.0,75.0
USP34,0.0,1.0,0.0,1.0,50.0
BMP2K,0.0,1.0,0.0,1.0,50.0
BACH2,1.0,1.0,0.0,0.0,50.0
TNRC6B,0.0,1.0,0.0,1.0,50.0
PLCL1,0.0,1.0,0.0,1.0,50.0
CACNA1D,0.0,1.0,0.0,1.0,50.0
CDKN2B-AS1,0.0,0.0,1.0,1.0,50.0
SESN3,0.0,1.0,0.0,1.0,50.0
FBXL17,0.0,0.0,1.0,1.0,50.0
PKIB,1.0,1.0,0.0,0.0,50.0
ITPR1,0.0,1.0,0.0,1.0,50.0
KAT2B,1.0,1.0,0.0,0.0,50.0
KIF26B,0.0,1.0,0.0,1.0,50.0
MITF,0.0,1.0,0.0,1.0,50.0
ABCA1,0.0,1.0,0.0,1.0,50.0
