,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
C2orf69,1.0,0.0,1.0,1.0,75.0
ARL13B,1.0,0.0,1.0,1.0,75.0
TBC1D32,1.0,0.0,1.0,1.0,75.0
LILRB5,1.0,0.0,1.0,1.0,75.0
RHBDD1,1.0,0.0,1.0,1.0,75.0
LCLAT1,1.0,0.0,1.0,1.0,75.0
SSU72,1.0,0.0,1.0,1.0,75.0
FAM98B,1.0,0.0,1.0,1.0,75.0
GPAT4,1.0,0.0,1.0,1.0,75.0
HABP4,1.0,0.0,1.0,1.0,75.0
UBE2D2,1.0,0.0,0.0,1.0,50.0
BRD1,1.0,0.0,0.0,1.0,50.0
PQLC1,1.0,0.0,0.0,1.0,50.0
MYO1G,1.0,0.0,1.0,0.0,50.0
CREBBP,1.0,0.0,1.0,0.0,50.0
HNRNPD,0.0,1.0,0.0,1.0,50.0
RFC2,1.0,0.0,0.0,1.0,50.0
SETX,0.0,1.0,0.0,1.0,50.0
ACVR1,1.0,0.0,0.0,1.0,50.0
RPRD1A,0.0,0.0,0.0,1.0,25.0
RNF11,1.0,0.0,0.0,0.0,25.0
SCYL3,0.0,0.0,0.0,1.0,25.0
RCOR3,0.0,0.0,0.0,1.0,25.0
RINT1,0.0,1.0,0.0,0.0,25.0
PTPRO,0.0,0.0,0.0,1.0,25.0
PRMT3,0.0,0.0,0.0,1.0,25.0
PCSK7,0.0,0.0,1.0,0.0,25.0
PCNP,0.0,0.0,0.0,1.0,25.0
PCDH15,0.0,1.0,0.0,0.0,25.0
OXCT1,0.0,0.0,0.0,1.0,25.0
OPA3,1.0,0.0,0.0,0.0,25.0
SEPT10,0.0,1.0,0.0,0.0,25.0
SGIP1,0.0,1.0,0.0,0.0,25.0
SESN1,1.0,0.0,0.0,0.0,25.0
SFXN1,0.0,0.0,0.0,1.0,25.0
ZNF398,0.0,0.0,0.0,1.0,25.0
ZNF14,1.0,0.0,0.0,0.0,25.0
ZBTB7A,0.0,0.0,1.0,0.0,25.0
ZBTB25,0.0,0.0,0.0,1.0,25.0
UGP2,0.0,0.0,0.0,1.0,25.0
TTBK2,0.0,0.0,0.0,1.0,25.0
TRHDE,0.0,0.0,0.0,1.0,25.0
TRAM1,0.0,0.0,0.0,1.0,25.0
TOR1AIP1,0.0,1.0,0.0,0.0,25.0
TOP2B,0.0,0.0,0.0,1.0,25.0
TMEM117,0.0,0.0,0.0,1.0,25.0
TCOF1,0.0,0.0,1.0,0.0,25.0
TBCA,1.0,0.0,0.0,0.0,25.0
STAM,0.0,0.0,0.0,1.0,25.0
SRPRB,0.0,0.0,0.0,1.0,25.0
SP1,0.0,1.0,0.0,0.0,25.0
NGLY1,0.0,1.0,0.0,0.0,25.0
NUP54,0.0,0.0,0.0,1.0,25.0
MSANTD2,0.0,0.0,0.0,1.0,25.0
NEO1,0.0,0.0,0.0,1.0,25.0
GARNL3,1.0,0.0,0.0,0.0,25.0
FTCDNL1,0.0,0.0,0.0,1.0,25.0
FMNL1,0.0,1.0,0.0,0.0,25.0
DRAM2,1.0,0.0,0.0,0.0,25.0
DCUN1D4,0.0,1.0,0.0,0.0,25.0
CUL1,1.0,0.0,0.0,0.0,25.0
CSNK2A1,0.0,0.0,0.0,1.0,25.0
CSE1L,0.0,0.0,0.0,1.0,25.0
CREB1,0.0,0.0,0.0,1.0,25.0
CERS2,0.0,1.0,0.0,0.0,25.0
CCT4,0.0,1.0,0.0,0.0,25.0
BCLAF1,0.0,1.0,0.0,0.0,25.0
APBB2,0.0,0.0,0.0,1.0,25.0
ANKS1B,0.0,0.0,0.0,1.0,25.0
ANKRD42,0.0,0.0,0.0,1.0,25.0
AKAP11,0.0,0.0,0.0,1.0,25.0
AGFG1,0.0,0.0,0.0,1.0,25.0
AFTPH,0.0,0.0,0.0,1.0,25.0
GALNT7,0.0,0.0,0.0,1.0,25.0
GOT1,0.0,1.0,0.0,0.0,25.0
NCL,0.0,1.0,0.0,0.0,25.0
GPCPD1,0.0,0.0,0.0,1.0,25.0
NAB1,0.0,0.0,0.0,1.0,25.0
MYO5A,0.0,0.0,0.0,1.0,25.0
ADGRA3,0.0,1.0,0.0,0.0,25.0
MPRIP,1.0,0.0,0.0,0.0,25.0
MKL1,1.0,0.0,0.0,0.0,25.0
MICU3,0.0,1.0,0.0,0.0,25.0
MFN1,0.0,0.0,0.0,1.0,25.0
MAP4,0.0,0.0,0.0,1.0,25.0
MAP1B,0.0,0.0,0.0,1.0,25.0
LINC01001,1.0,0.0,0.0,0.0,25.0
LENG8,1.0,0.0,0.0,0.0,25.0
KCTD1,0.0,0.0,0.0,1.0,25.0
ILKAP,0.0,0.0,0.0,1.0,25.0
IGSF21,0.0,0.0,1.0,0.0,25.0
ICE2,1.0,0.0,0.0,0.0,25.0
HEATR1,0.0,0.0,0.0,1.0,25.0
GRAMD1A,0.0,0.0,1.0,0.0,25.0
ZNF41,0.0,0.0,0.0,1.0,25.0
