,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABHD2,1.0,1.0,1.0,1.0,100.0
SEC31A,1.0,1.0,1.0,1.0,100.0
RAB14,1.0,1.0,1.0,1.0,100.0
RAB28,1.0,1.0,1.0,1.0,100.0
RAB2A,1.0,1.0,1.0,1.0,100.0
RAB3IP,1.0,1.0,1.0,1.0,100.0
RAF1,1.0,1.0,1.0,1.0,100.0
RALA,1.0,1.0,1.0,1.0,100.0
RALGAPB,1.0,1.0,1.0,1.0,100.0
RAP1B,1.0,1.0,1.0,1.0,100.0
RAP1GDS1,1.0,1.0,1.0,1.0,100.0
RAP2A,1.0,1.0,1.0,1.0,100.0
RAPH1,1.0,1.0,1.0,1.0,100.0
RASA2,1.0,1.0,1.0,1.0,100.0
RBM25,1.0,1.0,1.0,1.0,100.0
RBM39,1.0,1.0,1.0,1.0,100.0
RBMS1,1.0,1.0,1.0,1.0,100.0
RCBTB2,1.0,1.0,1.0,1.0,100.0
RCOR3,1.0,1.0,1.0,1.0,100.0
RFWD3,1.0,1.0,1.0,1.0,100.0
RNF19A,1.0,1.0,1.0,1.0,100.0
RP2,1.0,1.0,1.0,1.0,100.0
SACM1L,1.0,1.0,1.0,1.0,100.0
SCIN,1.0,1.0,1.0,1.0,100.0
SCYL2,1.0,1.0,1.0,1.0,100.0
PUM1,1.0,1.0,1.0,1.0,100.0
PSMD14,1.0,1.0,1.0,1.0,100.0
PPP4R1,1.0,1.0,1.0,1.0,100.0
MFSD14C,1.0,1.0,1.0,1.0,100.0
IRF2,1.0,1.0,1.0,1.0,100.0
KDM6A,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
LINC00623,1.0,1.0,1.0,1.0,100.0
LPGAT1,1.0,1.0,1.0,1.0,100.0
LSM14A,1.0,1.0,1.0,1.0,100.0
MAP4,1.0,1.0,1.0,1.0,100.0
MARCH7,1.0,1.0,1.0,1.0,100.0
MEI4,1.0,1.0,1.0,1.0,100.0
METTL9,1.0,1.0,1.0,1.0,100.0
MICU3,1.0,1.0,1.0,1.0,100.0
PPP1CB,1.0,1.0,1.0,1.0,100.0
MIER1,1.0,1.0,1.0,1.0,100.0
MTX2,1.0,1.0,1.0,1.0,100.0
MYSM1,1.0,1.0,1.0,1.0,100.0
ABL1,1.0,1.0,1.0,1.0,100.0
NDFIP1,1.0,1.0,1.0,1.0,100.0
NF1,1.0,1.0,1.0,1.0,100.0
