,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
AFF1,1.0,1.0,1.0,1.0,100.0
NOL4L,1.0,1.0,1.0,1.0,100.0
PUDP,1.0,1.0,1.0,1.0,100.0
PHF21A,1.0,1.0,1.0,1.0,100.0
PDS5B,1.0,1.0,1.0,1.0,100.0
PARP8,1.0,1.0,1.0,1.0,100.0
PALLD,1.0,1.0,1.0,1.0,100.0
OSBPL3,1.0,1.0,1.0,1.0,100.0
NF1,1.0,1.0,1.0,1.0,100.0
KLC1,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
MIOS,1.0,1.0,1.0,1.0,100.0
ALCAM,1.0,1.0,1.0,1.0,100.0
MAPRE2,1.0,1.0,1.0,1.0,100.0
LUZP1,1.0,1.0,1.0,1.0,100.0
LRP1,1.0,1.0,1.0,1.0,100.0
RAB12,1.0,1.0,1.0,1.0,100.0
RAP1A,1.0,1.0,1.0,1.0,100.0
RNF2,1.0,1.0,1.0,1.0,100.0
RREB1,1.0,1.0,1.0,1.0,100.0
SFMBT1,1.0,1.0,1.0,1.0,100.0
SLC20A2,1.0,1.0,1.0,1.0,100.0
SNX13,1.0,1.0,1.0,1.0,100.0
SRRM4,1.0,1.0,1.0,1.0,100.0
TCF12,1.0,1.0,1.0,1.0,100.0
TTC7A,1.0,1.0,1.0,1.0,100.0
UBE2D3,1.0,1.0,1.0,1.0,100.0
VGLL4,1.0,1.0,1.0,1.0,100.0
WASF2,1.0,1.0,1.0,1.0,100.0
WIPF3,1.0,1.0,1.0,1.0,100.0
ZFAND5,1.0,1.0,1.0,1.0,100.0
ZFP30,1.0,1.0,1.0,1.0,100.0
ZNF148,1.0,1.0,1.0,1.0,100.0
LEKR1,1.0,1.0,1.0,1.0,100.0
MCF2L,1.0,1.0,1.0,1.0,100.0
KDM5B,1.0,1.0,1.0,1.0,100.0
CNOT2,1.0,1.0,1.0,1.0,100.0
CORO1C,1.0,1.0,1.0,1.0,100.0
CEP85L,1.0,1.0,1.0,1.0,100.0
DCUN1D1,1.0,1.0,1.0,1.0,100.0
CDH20,1.0,1.0,1.0,1.0,100.0
CCNC,1.0,1.0,1.0,1.0,100.0
EIF3A,1.0,1.0,1.0,1.0,100.0
CAPZA2,1.0,1.0,1.0,1.0,100.0
ENTPD5,1.0,1.0,1.0,1.0,100.0
FADS2,1.0,1.0,1.0,1.0,100.0
FAM149A,1.0,1.0,1.0,1.0,100.0
FAM214A,1.0,1.0,1.0,1.0,100.0
BNC2,1.0,1.0,1.0,1.0,100.0
FRS2,1.0,1.0,1.0,1.0,100.0
ATG10,1.0,1.0,1.0,1.0,100.0
GSK3B,1.0,1.0,1.0,1.0,100.0
GTF2I,1.0,1.0,1.0,1.0,100.0
ANKRD17,1.0,1.0,1.0,1.0,100.0
HMBOX1,1.0,1.0,1.0,1.0,100.0
HNRNPLL,1.0,1.0,1.0,1.0,100.0
IMMP2L,1.0,1.0,1.0,1.0,100.0
IVNS1ABP,1.0,1.0,1.0,1.0,100.0
KCNIP4,1.0,1.0,1.0,1.0,100.0
TCEA1,1.0,1.0,0.0,1.0,75.0
ST8SIA4,1.0,1.0,0.0,1.0,75.0
CSE1L,0.0,1.0,1.0,1.0,75.0
SMYD3,1.0,1.0,0.0,1.0,75.0
COTL1,0.0,1.0,1.0,1.0,75.0
FGF13,1.0,1.0,1.0,0.0,75.0
RAB1A,0.0,1.0,0.0,1.0,50.0
WDR7,0.0,1.0,0.0,1.0,50.0
CDK13,1.0,0.0,1.0,0.0,50.0
NDST1,1.0,0.0,0.0,0.0,25.0
GAB1,0.0,0.0,1.0,0.0,25.0
XRN2,0.0,0.0,1.0,0.0,25.0
BTRC,1.0,0.0,0.0,0.0,25.0
SP140L,1.0,0.0,0.0,0.0,25.0
PUS1,1.0,0.0,0.0,0.0,25.0
CHIC1,1.0,0.0,0.0,0.0,25.0
DMXL1,0.0,1.0,0.0,0.0,25.0
TMEM51,1.0,0.0,0.0,0.0,25.0
LINC00092,0.0,1.0,0.0,0.0,25.0
TBC1D3,0.0,1.0,0.0,0.0,25.0
ZNF254,1.0,0.0,0.0,0.0,25.0
