,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
XRN1,1.0,1.0,1.0,1.0,100.0
TMA16,1.0,1.0,1.0,1.0,100.0
IL15,1.0,1.0,1.0,1.0,100.0
KRIT1,1.0,1.0,1.0,1.0,100.0
VPS13B,1.0,1.0,1.0,1.0,100.0
GDAP1,1.0,1.0,1.0,1.0,100.0
EXOC1,1.0,1.0,1.0,1.0,100.0
MTIF2,1.0,1.0,1.0,1.0,100.0
NUDT5,1.0,1.0,1.0,1.0,100.0
TSG101,1.0,1.0,1.0,1.0,100.0
C11orf58,1.0,1.0,1.0,1.0,100.0
PTPRE,1.0,1.0,1.0,1.0,100.0
PSMC2,1.0,1.0,1.0,1.0,100.0
PTAR1,1.0,1.0,1.0,1.0,100.0
ZNF518A,1.0,1.0,1.0,1.0,100.0
CPNE8,1.0,1.0,1.0,1.0,100.0
TMEM167A,1.0,1.0,1.0,1.0,100.0
PRKD1,1.0,1.0,1.0,1.0,100.0
PSMD14,1.0,1.0,1.0,1.0,100.0
COX5B,1.0,0.0,1.0,1.0,75.0
GRIK1,1.0,0.0,1.0,1.0,75.0
SMC4,0.0,1.0,1.0,1.0,75.0
FUCA2,1.0,1.0,0.0,1.0,75.0
G2E3,1.0,1.0,1.0,0.0,75.0
FBXL12,0.0,1.0,1.0,1.0,75.0
EXOC4,1.0,1.0,0.0,1.0,75.0
IFNGR1,1.0,1.0,0.0,1.0,75.0
EMC2,1.0,1.0,1.0,0.0,75.0
AAMDC,1.0,1.0,0.0,1.0,75.0
SAMSN1,1.0,1.0,0.0,1.0,75.0
KATNBL1,0.0,1.0,1.0,1.0,75.0
CIRBP,1.0,1.0,0.0,1.0,75.0
LEPR,1.0,0.0,1.0,1.0,75.0
LSM8,0.0,1.0,1.0,1.0,75.0
MAPK14,0.0,1.0,1.0,1.0,75.0
RPL5,1.0,1.0,0.0,1.0,75.0
METTL6,1.0,1.0,0.0,1.0,75.0
RNF4,1.0,1.0,0.0,1.0,75.0
MTR,1.0,0.0,1.0,1.0,75.0
RAB11FIP2,1.0,1.0,0.0,1.0,75.0
QKI,0.0,1.0,1.0,1.0,75.0
PTPN13,0.0,1.0,1.0,1.0,75.0
PIK3C3,1.0,1.0,1.0,0.0,75.0
PPP1R18,0.0,1.0,1.0,1.0,75.0
TMEM267,1.0,1.0,1.0,0.0,75.0
PPP2R2A,1.0,1.0,1.0,0.0,75.0
ABI2,1.0,1.0,0.0,1.0,75.0
CCDC50,1.0,1.0,1.0,0.0,75.0
TRAF3IP3,1.0,1.0,0.0,1.0,75.0
CEP192,1.0,1.0,1.0,0.0,75.0
CDKN2A,0.0,1.0,1.0,1.0,75.0
ARMCX4,1.0,1.0,1.0,0.0,75.0
CHRM5,1.0,0.0,1.0,0.0,50.0
PCYT1A,0.0,1.0,0.0,1.0,50.0
OGT,1.0,1.0,0.0,0.0,50.0
SCO1,1.0,0.0,1.0,0.0,50.0
SCYL2,1.0,0.0,1.0,0.0,50.0
